image 79, sky : 8.507381052177006, sea : 3.881879350200681, Land : 57.306392254737595
image 80, sky : 17.019544943606157, sea : 4.014469180257075, Land : 53.700925290860134
image 81, sky : 8.635426192653558, sea : 2.6692410646242952, Land : 61.59290774399228
image 82, sky : 1.2292293794137072, sea : 3.1433375247675657, Land : 71.28139209597114
image 83, sky : 0.47645811106030583, sea : 2.544708631814256, Land : 72.43465172991922
image 84, sky : 0.4513730122440685, sea : 2.393920197632475, Land : 72.06133227277346
image 85, sky : 4.011869379667734, sea : 2.9022109815576895, Land : 67.69632662068791
image 86, sky : 1.3886904308286339, sea : 2.4518501054209216, Land : 71.22304542625616
image 87, sky : 1.0276555276126607, sea : 2.677814452827313, Land : 72.238396554133
image 88, sky : 1.4191934346898338, sea : 2.9291814319463496, Land : 70.38364721460142
image 89, sky : 1.1666952446273435, sea : 8.511211292739928, Land : 64.37866353579231
image 90, sky : 22.898090992226795, sea : 8.548501562261851, Land : 38.301611796982165
image 91, sky : 7.659468989737336, sea : 6.236306393842402, Land : 62.19989172128233
image 92, sky : 28.184497726464464, sea : 15.293932263882537, Land : 40.05183327617741
image 93, sky : 10.431888399888228, sea : 28.932902917492253, Land : 29.88968907178784
image 94, sky : 6.767757233399379, sea : 3.7181316046842454, Land : 65.09714125133364
image 95, sky : 2.418727455164355, sea : 2.7039315335568763, Land : 68.63673998501245
image 96, sky : 9.262474279835391, sea : 4.596685591627293, Land : 59.454680911192405
image 97, sky : 24.00252994335213, sea : 5.286208276177412, Land : 43.260284890514654
image 98, sky : 18.237700363257634, sea : 8.011096980897221, Land : 45.3273645087131
image 99, sky : 25.85598930549205, sea : 5.759133833765178, Land : 35.81360263298278
image 100, sky : 20.785405711781742, sea : 5.128811188589138, Land : 43.39938414494742
image 101, sky : 32.16931727251943, sea : 5.969757373113855, Land : 32.932309130975966
image 102, sky : 28.49800192424935, sea : 19.611446902149062, Land : 23.130902142711985
image 103, sky : 26.0490096148961, sea : 15.55097514352487, Land : 32.638293514708124
